P3110,P3110/Class,P3110/Classroom,P3110/DayOfWeek,P3110/Subject,P3110/Teacher,P3110/TimeOfClass,P3110/Type,date
,Первая,"ауд.4306, ул.Ломоносова,д.9, лит.Б",Вторник,Линейная алгебра,Кольцова Татьяна Борисовна,10:00 - 11:30,Практика,2024-11-26
,Вторая,"ауд.2202, ул.Ломоносова,д.9, лит.А",Вторник,Линейная алгебра,Тушавин Глеб Владимирович,11:40 - 13:10,Лекция,2024-11-26
,Первая,"ауд.1405, Кронверкский пр.,д49, лит.А",Четверг,История российской науки и техники,Васильев Андрей Владимирович,15:20 - 16:50,Лекция,2024-11-28
,Вторая,"ауд.2433, Кронверкский пр.,д49, лит.А",Четверг,История российской науки и техники,Васильев Андрей Владимирович,18:40 - 20:10,Практика,2024-11-28
